Year,Flow_AF
900,7830890
901,11461310
902,7876191
903,10362465
904,10492864
905,10217742
906,10991164
907,8117094
908,6851633
909,7305410
910,11224445
911,11318772
912,9961005
913,5595678
914,12354763
915,6005663
916,10481556
917,9296589
918,6637669
919,8021765
920,9707245
921,6814708
922,7653285
923,6993713
924,5623750
925,9195277
926,10099675
927,9594308
928,6776941
929,6209424
930,5161676
931,8468298
932,6524848
933,5588282
934,8913427
935,8605508
936,6786908
937,9693522
938,6313246
939,7400865
940,9695427
941,9966812
942,6809798
943,6992686
944,8981644
945,7025809
946,7885737
947,6654447
948,6387314
949,6714754
950,7202756
951,11517392
952,6776836
953,8401610
954,4678685
955,8777468
956,11319765
957,4294788
958,7080148
959,8295783
960,9403961
961,5657559
962,6374840
963,10178280
964,7136863
965,10178190
966,8687124
967,9877371
968,11809149
969,6989465
970,11778389
971,6587090
972,9684030
973,8907813
974,9238276
975,6912006
976,7446273
977,6739564
978,6334577
979,4736515
980,5868839
981,5783746
982,9527906
983,5869881
984,9672132
985,11417070
986,5627868
987,8589070
988,10056720
989,8643728
990,7051666
991,11149440
992,9078387
993,11464457
994,9722070
995,6517201
996,6505976
997,11579179
998,11576278
999,8392383
1000,11352058
1001,11665404
1002,11751378
1003,11324987
1004,11254934
1005,8583755
1006,11767086
1007,11211934
1008,11952677
1009,11612067
1010,8789179
1011,11380128
1012,6115180
1013,11127070
1014,8608005
1015,11580094
1016,11564609
1017,11246099
1018,9389215
1019,12553364
1020,10320600
1021,8414560
1022,7859297
1023,12659491
1024,11298774
1025,6226843
1026,11698584
1027,11256822
1028,6933469
1029,8832329
1030,9049969
1031,11122504
1032,7116474
1033,8460244
1034,10679654
1035,6811543
1036,11830272
1037,9799911
1038,7953369
1039,6838022
1040,6370276
1041,11246060
1042,11247128
1043,5840951
1044,6669507
1045,11299958
1046,8207528
1047,6056478
1048,6642133
1049,9246211
1050,8956175
1051,8260437
1052,5425525
1053,6468277
1054,11416704
1055,6689916
1056,6958330
1057,9939492
1058,8312631
1059,4365479
1060,5412237
1061,9085659
1062,6604086
1063,9069467
1064,11622250
1065,8820490
1066,7169669
1067,8786958
1068,10951030
1069,6673583
1070,4762342
1071,8099423
1072,5078258
1073,7420284
1074,7019671
1075,6959174
1076,9472729
1077,9128363
1078,11029852
1079,11698031
1080,10424692
1081,9043002
1082,6831389
1083,7537062
1084,11395903
1085,9259229
1086,8090818
1087,11358714
1088,9562362
1089,10842578
1090,6404136
1091,9900508
1092,6098023
1093,5175471
1094,10805016
1095,9640052
1096,7259755
1097,8766886
1098,4587138
1099,9768768
1100,11814025
1101,7793340
1102,9077230
1103,6094754
1104,11027294
1105,10786455
1106,10247727
1107,10130433
1108,8343623
1109,10649741
1110,9927475
1111,9186534
1112,10181312
1113,11679406
1114,7016808
1115,7129596
1116,11447300
1117,9491105
1118,11357220
1119,8880289
1120,11237162
1121,8364690
1122,11253657
1123,6166144
1124,9002669
1125,11266634
1126,3941658
1127,7561706
1128,10637075
1129,9583391
1130,6406217
1131,6034086
1132,6791557
1133,6645600
1134,6858242
1135,5890352
1136,8108029
1137,8743177
1138,9814545
1139,7104045
1140,5448409
1141,6442065
1142,9168425
1143,6324276
1144,5771648
1145,5134174
1146,5806983
1147,7865251
1148,6213958
1149,11233838
1150,5752897
1151,6664899
1152,5846727
1153,7149154
1154,6055875
1155,6235053
1156,4952220
1157,6690737
1158,6621439
1159,11274024
1160,8189073
1161,6580244
1162,6766636
1163,10729707
1164,5730246
1165,11242892
1166,10016761
1167,10004154
1168,6655721
1169,12456463
1170,5652000
1171,7078172
1172,7511396
1173,7656626
1174,6238741
1175,6739009
1176,6677624
1177,5862737
1178,11570426
1179,9414426
1180,8734323
1181,10615955
1182,10555324
1183,4617755
1184,9374369
1185,5372190
1186,8199610
1187,6250755
1188,11761259
1189,8877287
1190,9787783
1191,8531176
1192,9375507
1193,10762516
1194,8961554
1195,11534305
1196,8215662
1197,10023695
1198,7738126
1199,7687850
1200,9923808
1201,10209866
1202,11571158
1203,10305102
1204,11992987
1205,11550724
1206,5635149
1207,9125199
1208,7885020
1209,11376176
1210,6659371
1211,7096326
1212,8895528
1213,6620046
1214,11547750
1215,7137410
1216,11636584
1217,5256582
1218,6564122
1219,11250575
1220,11506554
1221,7172157
1222,8882791
1223,7185599
1224,10300448
1225,9796005
1226,6436356
1227,5768295
1228,9780320
1229,11166296
1230,7111732
1231,5611389
1232,8787121
1233,7221355
1234,7409000
1235,7039862
1236,5207634
1237,5768189
1238,7929703
1239,7239743
1240,10947536
1241,12126720
1242,6448380
1243,9458091
1244,6921471
1245,4935982
1246,11496205
1247,10755213
1248,11522177
1249,7373561
1250,4597062
1251,6338361
1252,9192566
1253,7285302
1254,5277420
1255,8620724
1256,11273024
1257,6805949
1258,6872586
1259,11222909
1260,6783267
1261,6539828
1262,11791900
1263,6908644
1264,5471441
1265,10277638
1266,9011557
1267,9073985
1268,6751795
1269,6077485
1270,11272222
1271,6786243
1272,8083530
1273,5966126
1274,10269855
1275,10027672
1276,8005713
1277,10392328
1278,9042972
1279,5565197
1280,10416627
1281,9507277
1282,11226594
1283,11237063
1284,6850999
1285,4397735
1286,11385068
1287,11285840
1288,7734574
1289,8401947
1290,11259379
1291,12057784
1292,5712030
1293,7175393
1294,7257619
1295,6863372
1296,4722756
1297,7549611
1298,8036126
1299,7078005
1300,6231237
1301,7298460
1302,10308618
1303,9472163
1304,10978484
1305,11347394
1306,9821162
1307,8064719
1308,11621850
1309,6541794
1310,11854456
1311,9862269
1312,11529898
1313,11174985
1314,11244951
1315,8578771
1316,5167012
1317,10237729
1318,10517035
1319,10359344
1320,6866570
1321,11668619
1322,11951628
1323,11679177
1324,6120642
1325,8875708
1326,12243026
1327,12383760
1328,7848427
1329,7001278
1330,12569908
1331,11651750
1332,7680945
1333,11196083
1334,11267078
1335,4589965
1336,11244963
1337,11726861
1338,11171967
1339,11026405
1340,9164212
1341,11884209
1342,8755789
1343,9162799
1344,10222548
1345,11399580
1346,11460776
1347,11017771
1348,8078430
1349,12132579
1350,8297420
1351,6108572
1352,5614439
1353,11235215
1354,6573356
1355,9239790
1356,12333459
1357,11364831
1358,5366215
1359,11440351
1360,8951235
1361,6037839
1362,9370914
1363,11299471
1364,6392479
1365,6490714
1366,11309513
1367,11633860
1368,11461480
1369,7319615
1370,7243541
1371,7364689
1372,10172939
1373,9679669
1374,8993604
1375,7061940
1376,8226690
1377,5645074
1378,11277031
1379,6715309
1380,11200533
1381,11454217
1382,7356958
1383,11405162
1384,7044993
1385,11590883
1386,8995647
1387,10460178
1388,10305990
1389,11318983
1390,4405344
1391,7225344
1392,8300362
1393,8220362
1394,9676576
1395,6991655
1396,8028622
1397,7314608
1398,7862542
1399,6903873
1400,6876860
1401,10053017
1402,6848834
1403,9671290
1404,9539499
1405,10359077
1406,8905232
1407,5473176
1408,6248502
1409,7586968
1410,4823391
1411,11065409
1412,12036208
1413,4925748
1414,10854688
1415,8955747
1416,9189413
1417,7948056
1418,8353247
1419,7599799
1420,13282188
1421,7378480
1422,11939035
1423,10606502
1424,10824317
1425,5844975
1426,6294294
1427,7427567
1428,5283430
1429,7729057
1430,6624695
1431,6991913
1432,5786151
1433,9931310
1434,6614275
1435,9161018
1436,10233892
1437,7293181
1438,9757523
1439,6488768
1440,12373438
1441,12580537
1442,11525397
1443,8068510
1444,5527619
1445,11556646
1446,7368468
1447,10134261
1448,8968664
1449,11522357
1450,9155348
1451,8005591
1452,5848351
1453,7464987
1454,6222116
1455,7770398
1456,6602449
1457,6562717
1458,8134564
1459,5881920
1460,7141115
1461,7099869
1462,9307331
1463,8721523
1464,6532264
1465,5735448
1466,9223980
1467,11519445
1468,5255311
1469,9696919
1470,12061103
1471,7369068
1472,8269989
1473,6266744
1474,9111874
1475,5886921
1476,5458048
1477,7190324
1478,7042201
1479,4932338
1480,5458264
1481,6626218
1482,6852722
1483,7549017
1484,11202863
1485,8038103
1486,9182287
1487,8476751
1488,11173188
1489,10222812
1490,10273148
1491,9255873
1492,6721848
1493,11065100
1494,8071495
1495,9516004
1496,9542755
1497,6131797
1498,8526604
1499,4606470
1500,5979677
1501,8995429
1502,7340050
1503,10922198
1504,9886176
1505,5847616
1506,9384605
1507,7949994
1508,8202391
1509,10146965
1510,5799602
1511,8847175
1512,10758860
1513,7418859
1514,8907231
1515,5682539
1516,6312865
1517,6995145
1518,4674085
1519,7470085
1520,6419702
1521,6068039
1522,8051086
1523,9353525
1524,12002628
1525,9927491
1526,9639260
1527,8108287
1528,7063932
1529,4078391
1530,11149048
1531,8148886
1532,3917652
1533,6460499
1534,11130851
1535,10412592
1536,11406965
1537,6758864
1538,11259378
1539,12527436
1540,6647564
1541,5104040
1542,7349424
1543,7335859
1544,9165454
1545,6696267
1546,8287880
1547,7543801
1548,4887337
1549,9346680
1550,6946353
1551,9497938
1552,9738282
1553,11593727
1554,6211651
1555,6645729
1556,10069739
1557,12183629
1558,8668467
1559,11148829
